probe,SCroi1_Tau,SCroi2_Tau,SCroi3_Tau,SCroi4_Tau,SCroi5_Tau,SCroi6_Tau,SCroi7_Tau,SCroi8_Tau,SCroi9_Tau,SCroi10_Tau,SCroi11_Tau,SCroi12_Tau,SCroi13_Tau,SCroi14_Tau,SCroi15_Tau,SCroi16_Tau,SCroi17_Tau,SCroi18_Tau,SCroi19_Tau,SCroi20_Tau,SCroi21_Tau,SCroi22_Tau,SCroi23_Tau,SCroi24_Tau,SCroi25_Tau,SCroi26_Tau,SCroi27_Tau,SCroi28_Tau,SCroi29_Tau,SCroi30_Tau,SCroi31_Tau,SCroi32_Tau,SCroi33_Tau,SCroi34_Tau,SCroi35_Tau,SCroi36_Tau,SCroi37_Tau,SCroi38_Tau,SCroi39_Tau,SCroi40_Tau,SCroi41_Tau,SCroi42_Tau,SCroi43_Tau,SCroi44_Tau,SCroi45_Tau,SCroi46_Tau,SCroi47_Tau,SCroi48_Tau,SCroi49_Tau,SCroi50_Tau,SCroi51_Tau,SCroi52_Tau,SCroi53_Tau,SCroi54_Tau,SCroi55_Tau,SCroi56_Tau,SCroi57_Tau,SCroi58_Tau,SCroi59_Tau,SCroi60_Tau,SCroi61_Tau,SCroi62_Tau,SCroi63_Tau,SCroi64_Tau,SCroi65_Tau,SCroi66_Tau,SCroi67_Tau,SCroi68_Tau,SCroi69_Tau,SCroi70_Tau,SCroi71_Tau,SCroi72_Tau,SCroi73_Tau,SCroi74_Tau,SCroi75_Tau,SCroi76_Tau,SCroi77_Tau,SCroi78_Tau,SCroi79_Tau,SCroi80_Tau,SCroi81_Tau,SCroi82_Tau,SCroi83_Tau,SCroi84_Tau
SCroi1_Tau,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
SCroi2_Tau,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
SCroi3_Tau,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1
SCroi4_Tau,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
SCroi5_Tau,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SCroi6_Tau,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
SCroi7_Tau,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1
SCroi8_Tau,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
SCroi9_Tau,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1
SCroi10_Tau,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
